t,x,y,theta,x_ref,y_ref,theta_ref,ex,ey,eth,v_cmd,omega_cmd,front_left_speed,front_right_speed,rear_caster_angle_deg,caster_ok,V,Vdot_theory
25.28,1.3929972312687264,-0.5640432494442538,1.1882588266725884,1.3904686563702249,-0.5626694550550804,1.1862776862819757,0.0003306414144681629,0.0028586147512553984,-0.001981140390612701,0.3506605959686427,0.23337311579580233,0.3133208974413143,0.38800029449597107,-15.616749626394288,1.0,4.631115515974642e-06,-2.181103546086982e-06
25.3,1.3956150932734124,-0.5575369494242381,1.1929262889885042,1.3930792969986194,-0.5561744980434041,1.1909443529486445,0.00033077318661462677,0.002859567381861652,-0.001981936039859633,0.35066085896112265,0.23337285818328132,0.3133212016517976,0.3880005162704477,-15.616722087912187,1.0,4.6342769037414024e-06,-2.182854463392048e-06
25.32,1.3982025609035003,-0.5510184966579608,1.1975937461521697,1.3956595995107146,-0.5496674288090865,1.1956110196153098,0.00033090410510908043,0.0028605138438193363,-0.0019827265368599356,0.3506611202496525,0.23337260223912784,0.3133215038913921,0.38800073660791295,-15.616694727841601,1.0,4.637418892736916e-06,-2.1845947378135668e-06
25.34,1.400759577766166,-0.5444880331777827,1.2022611981969522,1.398209507713358,-0.5431483890613769,1.200277686281975,0.00033103417548598405,0.0028614541770766843,-0.001983511914977143,0.35066137984528223,0.2333723479525424,0.3133218041728754,0.38800095551768904,-15.616667545026377,1.0,4.640541594797586e-06,-2.1863244292971935e-06
25.36,1.403286088132367,-0.5379457012773455,1.2069286451560028,1.4007289660753175,-0.5366175207702152,1.2049443529486439,0.00033116340324422565,0.0028623884213226196,-0.001984292207358962,0.35066163775899084,0.23337209531279424,0.31332210250894377,0.3880011730090379,-15.616640538317736,1.0,4.64364512110774e-06,-2.1880435975171485e-06
25.38,1.405782036938049,-0.5313916435084712,1.2115960870622589,1.4032179197284866,-0.5300749661631443,1.2096110196153091,0.00033129179384221413,0.002863316615989831,-0.0019850674469497065,0.3506618940016763,0.23337184430920044,0.31332239891220426,0.38800138909114834,-15.616613706573402,1.0,4.6467295823973735e-06,-2.1897523018915795e-06
25.400000000000002,1.408247369785341,-0.5248260026780572,1.2162635239484434,1.4056763144690858,-0.5235208677222023,1.214277686281978,0.00033141935271007036,0.002864238800255314,-0.0019858376664654287,0.3506621485841804,0.2333715949311769,0.3133226933951921,0.38800160377316867,-15.616587048659769,1.0,4.649795088805318e-06,-2.191450601546589e-06
25.42,1.4106820329437346,-0.5182489218449648,1.2209309558470665,1.408104096758836,-0.5169553681808343,1.2189443529486432,0.0003315460852333763,0.002865155013042262,-0.0019866028984232287,0.35066240151725553,0.23337134716818192,0.3133229859703464,0.38800181706416464,-15.61656056344973,1.0,4.652841749958909e-06,-2.1931385553501202e-06
25.44,1.4130859733512477,-0.5116605443169033,1.2255983827904302,1.410501213726132,-0.5103786105207674,1.2236110196153103,0.0003316719967720984,0.0028660652930213764,-0.0019873631751199383,0.3506626528116034,0.23337110100976094,0.31332327665004167,0.38800202897316516,-15.616534249823877,1.0,4.655869674897187e-06,-2.1948162218920142e-06
25.46,1.4154591386155757,-0.5050610136473075,1.2302658048106254,1.4128676131671858,-0.5037907379689106,1.2282776862819773,0.00033179709264471297,0.002866969678613945,-0.0019881185286481085,0.35066290247784254,0.23337085644551867,0.31332356544655954,0.38800223950912555,-15.616508106670116,1.0,4.658878972154198e-06,-2.196483659492037e-06
