epoch,train_loss,val_loss,lr,elapsed_time,best_val_loss,best_metric_name,best_metric_value,best_epoch,early_stopping_counter,gradients_finite,improved,val_rollout_position_error_20,val_rollout_heading_error_20,rmse_delta_x_body_train,rmse_delta_x_body_val,train_rmse_delta_x_body,val_rmse_delta_x_body,rmse_delta_y_body_train,rmse_delta_y_body_val,train_rmse_delta_y_body,val_rmse_delta_y_body,rmse_delta_theta_train,rmse_delta_theta_val,train_rmse_delta_theta,val_rmse_delta_theta,rmse_v_next_train,rmse_v_next_val,train_rmse_v_next,val_rmse_v_next,rmse_omega_next_train,rmse_omega_next_val,train_rmse_omega_next,val_rmse_omega_next
36,0.0021590959386498967,0.001653682802611127,0.001,63.70082500000717,0.0016462105406640933,val_loss,0.0016462105406640933,35,1,True,False,0.0013985746420776695,0.0012300978414714336,0.0003051355882202351,0.00021865893736201295,0.0003051355882202351,0.00021865893736201295,0.0002924955049918583,0.00042926888155114514,0.0002924955049918583,0.00042926888155114514,0.000635277306700378,0.0005450250355349165,0.000635277306700378,0.0005450250355349165,0.012205420390916337,0.008746357183466181,0.012205420390916337,0.008746357183466181,0.025411091263411303,0.021801001346438895,0.025411091263411303,0.021801001346438895
37,0.0023436682844111436,0.0017113525380284109,0.001,64.01040199999989,0.0016462105406640933,val_loss,0.0016462105406640933,35,2,True,False,0.00394496379171961,0.0020346115343272686,0.0003047314641725606,0.0002204243464074196,0.0003047314641725606,0.0002204243464074196,0.00029680109465864563,0.00043484274426076213,0.00029680109465864563,0.00043484274426076213,0.0006645353453543637,0.0005549574071050735,0.0006645353453543637,0.0005549574071050735,0.012189253307574902,0.008816981362736356,0.012189253307574902,0.008816981362736356,0.026581413950208948,0.02219829681713928,0.026581413950208948,0.02219829681713928
38,0.0025801678324821557,0.0017991978883871744,0.001,64.31979370000772,0.0016462105406640933,val_loss,0.0016462105406640933,35,3,True,False,0.0008313041924035258,0.001999440137296915,0.0003051332461410457,0.00021597911431973295,0.0003051332461410457,0.00021597911431973295,0.0002942185924270075,0.0004272838681835868,0.0002942185924270075,0.0004272838681835868,0.000700677838327048,0.0005726927564647347,0.000700677838327048,0.0005726927564647347,0.012205331696875162,0.008639166778342538,0.012205331696875162,0.008639166778342538,0.028027112430433834,0.022907709874197924,0.028027112430433834,0.022907709874197924
39,0.002471117421251153,0.0016448681138391639,0.001,64.62547720001021,0.0016448681138391639,val_loss,0.0016448681138391639,39,0,True,True,0.0033401146015897467,0.0002629626542329788,0.00030798362133651344,0.00021532124004770007,0.00030798362133651344,0.00021532124004770007,0.00029939262967548536,0.0004469576042075372,0.00029939262967548536,0.0004469576042075372,0.0006835074072389927,0.0005413942008103047,0.0006835074072389927,0.0005413942008103047,0.012319334013726735,0.008612851598409398,0.012319334013726735,0.008612851598409398,0.027340295144150168,0.021655767268290188,0.027340295144150168,0.021655767268290188
40,0.003635587392561687,0.0031655412970175005,0.001,66.54842940000526,0.0016448681138391639,val_loss,0.0016448681138391639,39,1,True,False,0.012317691748669833,0.008732331451028585,0.00032137733884072064,0.0002797875430045343,0.00032137733884072064,0.0002797875430045343,0.0003644411034999172,0.00044419105612382117,0.0003644411034999172,0.00044419105612382117,0.0008362081338605872,0.000773982002105028,0.0008362081338605872,0.000773982002105028,0.012855096025665324,0.011191498651468066,0.012855096025665324,0.011191498651468066,0.033448326890789144,0.030959281463395726,0.033448326890789144,0.030959281463395726
41,0.003065629075844511,0.0021682955790311097,0.001,69.24614960000326,0.0016448681138391639,val_loss,0.0016448681138391639,39,2,True,False,0.0069610277673929025,0.007353624328970909,0.0003141829528275312,0.0002271606772161898,0.0003141829528275312,0.0002271606772161898,0.0004179744075934567,0.000528693028124241,0.0004179744075934567,0.000528693028124241,0.0007584598793366602,0.000621963861170493,0.0007584598793366602,0.000621963861170493,0.012567311715337044,0.009086431579851463,0.012567311715337044,0.009086431579851463,0.0303383935115953,0.024878552625920695,0.0303383935115953,0.024878552625920695
42,0.0024377957438352273,0.0019918767550703266,0.001,69.55429070000537,0.0016448681138391639,val_loss,0.0016448681138391639,39,3,True,False,0.015109863136598399,0.007879892364144325,0.0003075224426685391,0.00023127009897172746,0.0003075224426685391,0.00023127009897172746,0.0003302461544574841,0.00042803027103316193,0.0003302461544574841,0.00042803027103316193,0.0006760901710399956,0.00060469206533121,0.0006760901710399956,0.00060469206533121,0.01230090048414097,0.009250803194431233,0.01230090048414097,0.009250803194431233,0.02704360668150015,0.02418768366321659,0.02704360668150015,0.02418768366321659
43,0.002281411748055292,0.0016538257582177376,0.001,69.86433039999974,0.0016448681138391639,val_loss,0.0016448681138391639,39,4,True,False,0.004250573838795338,0.0006390516646206379,0.0003085538724839255,0.0002311824775808006,0.0003085538724839255,0.0002311824775808006,0.00030355162862452477,0.00044352515713407995,0.00030355162862452477,0.00044352515713407995,0.0006536098114322742,0.0005414102378123967,0.0006536098114322742,0.0005414102378123967,0.01234215581071068,0.009247302745691067,0.01234215581071068,0.009247302745691067,0.026144391943685324,0.021656409360963035,0.026144391943685324,0.021656409360963035
44,0.0021897854409139374,0.0016219200582468303,0.001,70.17430610000156,0.0016219200582468303,val_loss,0.0016219200582468303,44,0,True,True,0.0047125945392926475,0.0007066652178764343,0.0003060553877897485,0.00022990505797333157,0.0003060553877897485,0.00022990505797333157,0.00029988955198240457,0.00042309080129685996,0.00029988955198240457,0.00042309080129685996,0.0006395603523785186,0.000538192794497284,0.0006395603523785186,0.000538192794497284,0.0122422140889335,0.00919620563429341,0.0122422140889335,0.00919620563429341,0.02558241386044405,0.02152771206812801,0.02558241386044405,0.02152771206812801
45,0.0021153352258364315,0.0015840701622374612,0.001,72.07705680000072,0.0015840701622374612,val_loss,0.0015840701622374612,45,0,True,True,0.0026892708947498178,0.0006234645843505859,0.00030485567789101137,0.00022725655904740755,0.00030485567789101137,0.00022725655904740755,0.0002972519906220622,0.00042084082082590634,0.0002972519906220622,0.00042084082082590634,0.0006277473488824469,0.0005315103302516886,0.0006277473488824469,0.0005315103302516886,0.012194221904802367,0.009090271973876816,0.012194221904802367,0.009090271973876816,0.02510989373422522,0.021260412877209093,0.02510989373422522,0.021260412877209093
